Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 20.00588, 17, 20, 2.3, 85, 22.59412
1, 18.127, 20, 20, 2.65, 100, 20.82701
2, 20.78699, 20, 20, 2.85, 100, 23.08699
3, 22.15894, 19, 20, 2.7, 95, 24.47473
4, 24.26603, 20, 20, 2.7, 100, 26.86603
5, 19.94899, 20, 20, 2.8, 100, 22.34899
