Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 9.743998, 20, 20, 2.35, 100, 157.244
1, 10.424, 20, 20, 2.35, 100, 152.924
2, 10.477, 20, 20, 2.7, 100, 125.477
