Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 39.90353, 17, 20, 2.4, 85, 42.25647
1, 43.66665, 18, 20, 2.6, 90, 45.88887
2, 37.97264, 19, 20, 2.6, 95, 40.49896
3, 47.27299, 20, 20, 2.85, 100, 49.57299
4, 44.33002, 18, 20, 2.55, 90, 46.66336
5, 49.00664, 18, 20, 2.55, 90, 51.33997
