Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 13.13599, 20, 20, 3.35, 100, 14.53599
1, 14.84401, 20, 20, 3.35, 100, 16.34401
2, 13.89199, 20, 20, 3.25, 100, 15.69199
3, 12.12316, 19, 20, 2.9, 95, 14.22843
4, 14.52499, 20, 20, 3.55, 100, 15.62499
5, 13.82101, 20, 20, 3.55, 100, 14.92101
