Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, NaN, 0, 50, 0, 0, 0
1, 23.46889, 27, 50, 2.296296, 54, 84.95037
2, 24.30615, 39, 50, 2.128205, 78, 93.0241
