Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 9.079997, 20, 20, 2.55, 100, 11.98
1, 9.632002, 20, 20, 2.6, 100, 12.432
2, 9.236997, 20, 20, 2.55, 100, 12.137
3, 9.837999, 20, 20, 2.55, 100, 12.738
4, 8.878998, 20, 20, 2.7, 100, 11.479
5, 9.166007, 20, 20, 2.8, 100, 11.56601
