Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 42.8084, 19, 20, 2.55, 95, 45.43998
1, 38.78597, 20, 20, 2.6, 100, 41.58598
2, 39.94592, 17, 20, 2.473684, 85, 42.41651
3, 39.33788, 19, 20, 2.4, 95, 42.28525
4, 41.38525, 19, 20, 2.3, 95, 44.54314
5, 44.43163, 19, 20, 2.5, 95, 47.16847
