Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 5.612999, 20, 20, 2.4, 100, 8.812999
1, 7.476001, 20, 20, 2.5, 100, 10.476
2, 7.038001, 20, 20, 2.75, 100, 9.538
3, 5.552999, 20, 20, 2.35, 100, 8.852999
4, 6.574998, 20, 20, 2.6, 100, 9.374998
5, 5.997001, 20, 20, 2.7, 100, 8.597002
