Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 24.31399, 20, 20, 2.7, 100, 26.91399
1, 23.60599, 20, 20, 2.8, 100, 26.00599
2, 23.51, 20, 20, 2.85, 100, 25.81
3, 29.727, 20, 20, 2.65, 100, 32.427
4, 21.76001, 20, 20, 2.9, 100, 23.96001
5, 22.39301, 20, 20, 2.7, 100, 24.99301
