Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 11.14979, 49, 50, 2.56, 98, 134.6192
1, 10.10401, 50, 50, 2.68, 100, 130.104
2, 10.884, 50, 50, 2.78, 100, 123.884
