Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 11.39481, 50, 50, 2.64, 100, 14.11481
1, 12.25041, 50, 50, 2.5, 100, 15.25041
2, 13.05079, 50, 50, 2.66, 100, 15.73079
3, 11.91761, 50, 50, 2.56, 100, 14.79761
4, 12.8052, 50, 50, 2.72, 100, 15.3652
5, 11.52279, 50, 50, 2.78, 100, 13.96279
