Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 11.3379, 19, 20, 2.473684, 95, 59.84853
1, 12.382, 20, 20, 2.45, 100, 61.3616
2, 12.069, 20, 20, 2.5, 100, 60.069
