Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 22.90099, 20, 20, 2.65, 100, 25.60099
1, 18.60601, 20, 20, 2.7, 100, 21.20601
2, 24.28799, 20, 20, 2.75, 100, 26.78799
3, 19.944, 20, 20, 2.55, 100, 22.844
4, 21.69201, 20, 20, 2.85, 100, 23.99201
5, 16.73, 20, 20, 2.8, 100, 19.13
