Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 11.73334, 99, 100, 2.61, 99, 60.21819
1, 11.77259, 100, 100, 2.71, 100, 57.57258
2, 11.513, 100, 100, 2.74, 100, 57.113
