Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 18.43895, 19, 20, 2.75, 95, 20.64948
1, 18.631, 20, 20, 2.65, 100, 21.331
2, 18.50399, 20, 20, 2.7, 100, 21.10399
3, 17.01401, 20, 20, 2.6, 100, 19.81401
4, 17.215, 20, 20, 2.7, 100, 19.815
5, 17.06631, 19, 20, 2.45, 95, 19.90841
