Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 24.952, 15, 20, 2.2, 75, 86.28532
1, 16.6, 15, 20, 2, 75, 89.93333
2, 16.25176, 17, 20, 1.882353, 85, 92.72235
