Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 6.453996, 20, 20, 2.6, 100, 9.253996
1, 5.499002, 20, 20, 2.25, 100, 8.999002
2, 5.846, 20, 20, 2.6, 100, 8.645999
3, 6.044997, 20, 20, 2.35, 100, 9.344996
4, 7.603001, 20, 20, 2.85, 100, 9.903001
5, 6.087005, 20, 20, 2.5, 100, 9.087005
