Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 12.463, 20, 20, 2.65, 100, 57.74601
1, 12.70101, 20, 20, 2.6, 100, 58.85485
2, 14.418, 20, 20, 2.85, 100, 56.52326
