Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
690000,0.44100544,-0.09861889,0.18140411,0.0005059434,0.06767315,0.00027974966,0.19324987,0.009325663,0.085283086,0.10442197,989.9354838709677,-0.9260903762713555,-0.9260903762713555,1.7815307085552523,1.0
720000,0.4748372,-0.095660634,0.17486998,7.913102e-05,0.071034595,0.00027885425,0.19295141,0.009295845,0.08682249,0.10724759,999.0,-0.9996516646877411,-0.9996516646877411,1.7733511691612582,1.0
750000,0.5212426,-0.09630244,0.1771354,0.001018483,0.06628559,0.00027795814,0.1926527,0.009266004,0.085357174,0.10681818,988.551724137931,-0.851206948531085,-0.851206948531085,1.7412369772791862,1.0
780000,0.5178801,-0.08581164,0.17732924,0.0014330505,0.07129599,0.00027706233,0.1923541,0.009236174,0.08501751,0.10390768,982.3333333333334,-0.7828467153012753,-0.7828467153012753,1.7292097849150498,1.0
810000,0.5339205,-0.085350394,0.16896316,0.0009476022,0.069563605,0.00027616855,0.19205618,0.009206412,0.08061644,0.11151449,955.3225806451613,-0.8268323060004942,-0.8268323060004942,1.5987410896247434,1.0
840000,0.61642164,-0.074214414,0.1768254,0.0021249007,0.07176841,0.0002752721,0.19175737,0.009176559,0.09021049,0.14118662,935.9375,-0.6239500448573381,-0.6239500448573381,1.6714388022664934,1.0
870000,0.6092371,-0.09121065,0.18347095,0.0012617457,0.06859675,0.00027437578,0.1914586,0.009146713,0.091847345,0.12671469,984.741935483871,-0.8563226317205737,-0.8563226317205737,1.8648100992844951,1.0
900000,0.52306056,-0.0731512,0.20028077,0.0018562835,0.07407532,0.0002734749,0.1911583,0.009116712,0.090244,0.11660587,932.0,-0.5575000520329922,-0.5575000520329922,1.7800702747772448,1.0
930000,0.58330417,-0.05379655,0.19040193,0.0017204391,0.07123404,0.00027257056,0.19085684,0.0090866,0.09012032,0.10492534,942.0967741935484,-0.6200581111254231,-0.6200581111254231,1.7352009086358933,1.0
960000,0.55158263,-0.07023427,0.1802231,0.0021378447,0.069121756,0.00027167526,0.1905584,0.009056785,0.0857739,0.09708225,931.7878787878788,-0.6292788363767393,-0.6292788363767393,1.6617267076490503,1.0
990000,0.53383416,-0.08784461,0.17231697,0.00081529183,0.06946055,0.00027074706,0.19024903,0.0090258755,0.08367588,0.09367279,973.3939393939394,-0.8527515677340103,-0.8527515677340103,1.6829440810463645,1.0
1020000,0.48734263,-0.081987,0.17175148,0.002107057,0.06767948,0.00026982318,0.18994106,0.00899511,0.08018161,0.08742272,896.2903225806451,-0.5096710098366584,-0.5096710098366584,1.5097602677922095,1.0
1050000,0.5410832,-0.024158929,0.17001526,0.0030031588,0.07120376,0.00026893194,0.189644,0.008965433,0.07808023,0.08499972,890.3030303030303,-0.26231879414990544,-0.26231879414990544,1.4069472103146836,1.0
1080000,0.5144815,-0.06076975,0.17248285,0.0009257398,0.06994734,0.00026803665,0.18934555,0.00893562,0.08232893,0.084982924,933.9677419354839,-0.748981298878789,-0.748981298878789,1.575040006544441,1.0
1110000,0.4633398,-0.043206368,0.16991848,0.0028389792,0.06855525,0.0002671413,0.1890471,0.008905805,0.07832067,0.07317907,909.8888888888889,-0.41028893635504776,-0.41028893635504776,1.5271506280534797,1.0
1140000,0.4297298,-0.059745334,0.15537141,0.0013763448,0.0684163,0.00026625165,0.18875054,0.008876179,0.07635423,0.06373897,921.71875,-0.6722875479608774,-0.6722875479608774,1.442430680443067,1.0
1170000,0.37806022,-0.048263784,0.158867,0.0021559529,0.06894071,0.0002653546,0.18845154,0.008846307,0.07459141,0.084010415,946.060606060606,-0.5829939860286135,-0.5829939860286135,1.447038307165106,1.0
1200000,0.41301432,-0.062919796,0.15629955,0.0007284948,0.069578886,0.0002644551,0.18815169,0.008816354,0.07282163,0.075524084,967.1,-0.8344000491003195,-0.8344000491003195,1.4507271898289522,1.0
1230000,0.33521712,-0.06290651,0.15019727,0.0019899686,0.067928806,0.00026355663,0.18785222,0.008786435,0.06971372,0.05933202,944.483870967742,-0.49340650271023473,-0.49340650271023473,1.4097603357907744,1.0
