Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 23.70315, 19, 20, 2.65, 95, 26.1242
1, 27.95177, 17, 20, 2.5, 85, 30.06941
2, 25.31334, 18, 20, 2.2, 90, 28.42445
3, 27.2179, 19, 20, 2.25, 95, 30.48106
4, 27.105, 16, 20, 2.15, 80, 29.73
5, 26.16209, 19, 20, 2.8, 95, 28.26735
