Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 9.208998, 20, 20, 2.45, 100, 12.309
1, 12.11099, 20, 20, 2.55, 100, 15.01099
2, 9.390997, 20, 20, 2.4, 100, 12.591
3, 10.157, 20, 20, 2.45, 100, 13.257
4, 9.165998, 20, 20, 2.5, 100, 12.166
5, 9.560016, 20, 20, 2.45, 100, 12.66002
