Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 16.30459, 48, 50, 2.64, 96, 18.80459
1, 17.20397, 50, 50, 2.56, 100, 20.08397
2, 15.74042, 50, 50, 2.66, 100, 18.42042
3, 17.01101, 49, 50, 2.58, 98, 19.74571
4, 15.63759, 50, 50, 2.6, 100, 18.43759
5, 16.96881, 50, 50, 2.72, 100, 19.52881
