Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 11.412, 5, 5, 2.8, 100, 13.812
1, 11.308, 5, 5, 2.6, 100, 14.108
2, 9.051997, 5, 5, 2, 100, 13.052
3, 13.484, 5, 5, 2.6, 100, 16.284
4, 10.064, 5, 5, 3, 100, 12.064
5, 8.719999, 5, 5, 2.4, 100, 11.92
