Model Set, Average Time, Successful Attempts, Attempt Count, Average Agents Collaboration, Success Rate, Average Time to Cure Fire
0, 25.55998, 47, 50, 2.52, 94, 28.19828
1, 25.35492, 47, 50, 2.46, 94, 28.12087
2, 26.94088, 46, 50, 2.44, 92, 29.63654
3, 24.80754, 45, 50, 2.38, 90, 27.51865
4, 26.55687, 45, 50, 2.4, 90, 29.22354
5, 26.0535, 43, 50, 2.34, 86, 28.61164
